cpus=4
 inference_drive-203126 [002] 22650.244084: sys_enter_ioctl:      fd: 0x00000005, cmd: 0x80087608, arg: 0xfffff5291c50
 inference_drive-203126 [002] 22650.244087: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.244189: sys_enter_ioctl:      fd: 0x00000005, cmd: 0x801c7606, arg: 0xfffff5292520
 inference_drive-203126 [002] 22650.244195: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.244204: sys_enter_ioctl:      fd: 0x00000005, cmd: 0x801c7606, arg: 0xfffff5292520
 inference_drive-203126 [002] 22650.244208: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.244219: sys_enter_ioctl:      fd: 0x00000005, cmd: 0x801c7606, arg: 0xfffff5292520
 inference_drive-203126 [002] 22650.244224: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.244231: sys_enter_ioctl:      fd: 0x00000005, cmd: 0x801c7606, arg: 0xfffff5292520
 inference_drive-203126 [002] 22650.244235: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.244243: sys_enter_ioctl:      fd: 0x00000005, cmd: 0x801c7606, arg: 0xfffff5292520
 inference_drive-203126 [002] 22650.244249: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.244256: sys_enter_ioctl:      fd: 0x00000005, cmd: 0x801c7606, arg: 0xfffff5292520
 inference_drive-203126 [002] 22650.244260: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.244269: sys_enter_ioctl:      fd: 0x00000005, cmd: 0x801c7606, arg: 0xfffff5292520
 inference_drive-203126 [002] 22650.244275: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.244282: sys_enter_ioctl:      fd: 0x00000005, cmd: 0x801c7606, arg: 0xfffff5292520
 inference_drive-203126 [002] 22650.244286: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.244294: sys_enter_ioctl:      fd: 0x00000005, cmd: 0x801c7606, arg: 0xfffff5292520
 inference_drive-203126 [002] 22650.244300: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.244309: sys_enter_ioctl:      fd: 0x00000005, cmd: 0x801c7606, arg: 0xfffff5292520
 inference_drive-203126 [002] 22650.244315: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.244323: sys_enter_ioctl:      fd: 0x00000005, cmd: 0x801c7606, arg: 0xfffff5292520
 inference_drive-203126 [002] 22650.244329: sys_exit_ioctl:       0x0
 inference_drive-203126 [002] 22650.244338: sys_enter_ioctl:      fd: 0x00000005, cmd: 0x801c7606, arg: 0xfffff5292520
 inference_drive-203126 [002] 22650.244344: sys_exit_ioctl:       0x0
